Probability,number
0.0,0.0
0.01,0.67
0.02,0.95
0.03,1.29
0.04,1.53
0.05,1.67
0.06,2.16
0.07,2.14
0.08,2.76
0.09,3.15
0.1,3.71
0.11,4.13
0.12,4.52
0.13,4.79
0.14,5.76
0.15,6.62
0.16,6.96
0.17,7.58
0.18,8.83
0.19,10.43
0.2,10.66
0.21,12.51
0.22,13.53
0.23,14.52
0.24,19.17
0.25,19.6
0.26,24.75
0.27,30.63
0.28,33.61
0.29,38.87
0.3,51.95
0.31,61.4
0.32,83.42
0.33,85.16
0.34,125.28
0.35000000000000003,170.86
0.36,231.0
0.37,315.34
0.38,488.6
0.39,714.6
0.4,1253.78
0.41000000000000003,1950.23
0.42,2645.98
0.43,3326.93
0.44,3608.33
0.45,3971.04
0.46,4234.93
0.47000000000000003,4374.7
0.48,4588.05
0.49,4719.49
0.5,4872.68
0.51,4984.54
0.52,5116.56
0.53,5222.7
0.54,5341.69
0.55,5451.94
0.56,5559.83
0.5700000000000001,5667.24
0.58,5779.17
0.59,5880.79
0.6,5984.97
0.61,6077.89
0.62,6179.75
0.63,6286.05
0.64,6391.15
0.65,6485.76
0.66,6591.86
0.67,6693.24
0.68,6790.58
0.6900000000000001,6889.68
0.7000000000000001,6990.95
0.71,7092.02
0.72,7195.95
0.73,7297.42
0.74,7403.84
0.75,7498.79
0.76,7601.78
0.77,7697.15
0.78,7799.06
0.79,7905.88
0.8,8000.65
0.81,8104.85
0.8200000000000001,8200.35
0.8300000000000001,8296.18
0.84,8401.14
0.85,8497.22
0.86,8599.96
0.87,8702.26
0.88,8798.07
0.89,8901.01
0.9,8994.46
0.91,9103.54
0.92,9200.27
0.93,9301.06
0.9400000000000001,9401.91
0.9500000000000001,9500.53
0.96,9601.43
0.97,9701.58
0.98,9798.84
0.99,9899.8
