Probability,number
0.0,0.0
0.01,0.28
0.02,0.29
0.03,0.45
0.04,0.67
0.05,0.93
0.06,1.08
0.07,1.27
0.08,1.32
0.09,1.72
0.1,1.69
0.11,1.76
0.12,1.94
0.13,2.48
0.14,2.88
0.15,2.83
0.16,2.91
0.17,4.0
0.18,4.06
0.19,4.18
0.2,5.93
0.21,5.96
0.22,7.91
0.23,6.9
0.24,6.86
0.25,8.08
0.26,9.52
0.27,12.65
0.28,14.37
0.29,16.98
0.3,17.55
0.31,20.25
0.32,20.37
0.33,28.29
0.34,29.29
0.35000000000000003,39.21
0.36,43.4
0.37,56.78
0.38,57.95
0.39,75.41
0.4,72.21
0.41000000000000003,82.29
0.42,90.26
0.43,113.81
0.44,107.35
0.45,127.34
0.46,139.77
0.47000000000000003,157.84
0.48,161.62
0.49,170.97
0.5,176.79
0.51,181.9
0.52,190.61
0.53,198.11
0.54,201.77
0.55,210.29
0.56,214.26
0.5700000000000001,223.1
0.58,228.62
0.59,232.24
0.6,235.51
0.61,240.07
0.62,246.66
0.63,247.92
0.64,253.65
0.65,258.83
0.66,262.92
0.67,268.11
0.68,272.7
0.6900000000000001,273.24
0.7000000000000001,277.96
0.71,282.39
0.72,287.55
0.73,292.45
0.74,295.24
0.75,300.83
0.76,305.13
0.77,308.3
0.78,310.63
0.79,315.75
0.8,319.8
0.81,322.42
0.8200000000000001,328.46
0.8300000000000001,332.63
0.84,335.05
0.85,340.72
0.86,342.91
0.87,346.7
0.88,352.38
0.89,354.93
0.9,359.87
0.91,364.12
0.92,367.11
0.93,372.35
0.9400000000000001,376.3
0.9500000000000001,378.93
0.96,384.2
0.97,388.09
0.98,391.75
0.99,395.82
